ID;TERMS (PT-NPT);RELATIONS;PT;MT
451912;Bonaire, Sint Eustatius și Saba;;;7241 ţări şi teritorii străine
5469;Bosnia și Herțegovina;;;7206 Europa
5469;Bosnia și Herțegovina;;;7231 geografie economică
5469;Bosnia și Herțegovina;;;7236 geografie politică
8505;Botoșani;;;7211 regiuni ale statelor membre ale Uniunii Europene
5029;Botswana;;;7221 Africa
5029;Botswana;;;7231 geografie economică
5037;Brabantul de Nord;;;7211 regiuni ale statelor membre ale Uniunii Europene
5470;Brandenburg;;;7211 regiuni ale statelor membre ale Uniunii Europene
5470;Brandenburg (landul);USE;Brandenburg;7211 regiuni ale statelor membre ale Uniunii Europene
5040;Brazilia;;;7216 America
5040;Brazilia;;;7231 geografie economică
5040;Brazilia;;;7236 geografie politică
c_964c9649;Brazilia, Rusia, India, China și Africa de Sud;USE;țările BRICS;7231 geografie economică
8500;Brașov;;;7211 regiuni ale statelor membre ale Uniunii Europene
5039;Bremen;;;7211 regiuni ale statelor membre ale Uniunii Europene
5039;Bremen (orașul liber hanseat);USE;Bremen;7211 regiuni ale statelor membre ale Uniunii Europene
5041;Bretania;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_8a6f744c;Brexit;USE;retragerea din UE;1016 construcţie europeană
5049;Brunei;;;7226 Asia şi Oceania
5049;Brunei;;;7231 geografie economică
8528;Brăila;;;7211 regiuni ale statelor membre ale Uniunii Europene
8490;București — Ilfov;;;7211 regiuni ale statelor membre ale Uniunii Europene
5063;Bulgaria;;;7206 Europa
5063;Bulgaria;;;7231 geografie economică
5063;Bulgaria;;;7236 geografie politică
1579;Bundesland;USE;stat în cadrul unei federații;0406 conjunctură politică
6196;Burgenland;;;7211 regiuni ale statelor membre ale Uniunii Europene
5032;Burgundia;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_f2f1fb47;Burgundia-Franche-Comté;;;7211 regiuni ale statelor membre ale Uniunii Europene
1236;Burkina Faso;;;7221 Africa
1236;Burkina Faso;;;7231 geografie economică
5072;Burundi;;;7221 Africa
5072;Burundi;;;7231 geografie economică
6148;BusinessEurope;;;7611 organizaţii europene
6148;BusinessEurope;;;7626 organizaţii neguvernamentale
8529;Buzău;;;7211 regiuni ale statelor membre ale Uniunii Europene
115;CA;USE;consiliu de administrație;4006 organizarea afacerilor
6337;CABEI;USE;Banca Americii Centrale pentru Integrare Economică;7616 organizaţii extraeuropene
3727;CACM;USE;Piața Comună Central-Americană;7616 organizaţii extraeuropene
5520;CAD;USE;design computerizat;3236 informatică şi procesarea datelor
3729;CAD (Comitetul de Asistență pentru Dezvoltare);USE;Comitetul de Asistență pentru Dezvoltare;7621 organizaţii mondiale
5086;CAER;USE;Comecon;7621 organizaţii mondiale
4038;CCE;USE;Comisia Europeană;1006 Instituțiile Uniunii Europene și funcția publică europeană
5530;CCG;USE;Consiliul de Cooperare al Golfului;7616 organizaţii extraeuropene
7186;CCNR;USE;Comisia Centrală pentru Navigația pe Rin;7611 organizaţii europene
434056;CCONUSC;USE;Convenția-cadru a Organizației Națiunilor Unite privind schimbările climatice;0806 politică internaţională
437483;CCR;USE;cadrul comun de referinţă;1211 drept civil
5354;CCR;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
3725;CDAP;USE;Centrul de Dezvoltare pentru Asia și Pacific;7616 organizaţii extraeuropene
118;CDCC;USE;Consiliul pentru Cooperare Culturală;7611 organizaţii europene
118;CDCULT;USE;Consiliul pentru Cooperare Culturală;7611 organizaţii europene
5282;CDE;USE;Centrul pentru Dezvoltarea Întreprinderilor;7626 organizaţii neguvernamentale
118;CDED;USE;Consiliul pentru Cooperare Culturală;7611 organizaţii europene
118;CDESR;USE;Consiliul pentru Cooperare Culturală;7611 organizaţii europene
5282;CDI;USE;Centrul pentru Dezvoltarea Întreprinderilor;7626 organizaţii neguvernamentale
c_b605a1d4;CDO;USE;Consiliul ONU pentru Drepturile Omului;7606 ONU
